"Name","AltName","OrigName","County1","County2","County3","State","Established","Continuous","Discontinued","StampIndex","ID","OrigCounty","GNIS.Name","GNIS.County","GNIS.State","GNIS.FEATURE_ID","GNIS.Feature.Class","GNIS.OrigName","GNIS.OrigCounty","GNIS.Latitude","GNIS.Longitude","GNIS.ELEV_IN_M","GNIS.ELEV_IN_FT","GNIS.Match","GNIS.Dist"
"BARTON",NA,"BARTON","BARTON",NA,NA,"MO","1869",TRUE,"1880","6",3200,"Barton","BARTON","BARTON","MO","758460","Civil","Barton County","Barton","37.5023006","-94.3471108","298","978",TRUE,NA
"BEALE",NA,"BEALE","JUNIATA",NA,NA,"PA","1883",FALSE,"1893","4",3558,"Juniata","BEALE","JUNIATA","PA","1216578","Civil","Township of Beale","Juniata","40.5035832","-77.5151161","220","722",TRUE,NA
"BEAUVAIS",NA,"BEAUVAIS","STE. GENEVIEVE",NA,NA,"MO","1841",TRUE,"1842","9",3674,"St. Genevieve","BEAUVAIS","STE. GENEVIEVE","MO","767324","Civil","Township of Beauvais","Ste. Genevieve","37.8354865","-90.0646661","165","541",TRUE,NA
"BEECH CREEK",NA,"BEECH CREEK","CLARK",NA,NA,"AR","1852",TRUE,"1866","6",3847,"Clark","BEECH CREEK","CLARK","AR","65012","Civil","Township of Beech Creek (historical)","Clark","33.834827","-93.0404455","62","203",TRUE,NA
"BENTON",NA,"BENTON","BENTON",NA,NA,"MO","1835",TRUE,"1839","7",4350,"Benton","BENTON","BENTON","MO","758462","Civil","Benton County","Benton","38.294849","-93.2879465","232","761",TRUE,NA
"BIBB",NA,"BIBB (CH)","BIBB",NA,NA,"AL","1823",TRUE,"1828","8",4742,"Bibb","BIBB","BIBB","AL","161529","Civil","Bibb County","Bibb","32.9986443","-87.1264391","75","246",TRUE,NA
"BIG CREEK",NA,"BIG CREEK","PHILLIPS",NA,NA,"AR","1830",FALSE,"1860","8",4806,"Phillips","BIG CREEK","PHILLIPS","AR","68945","Civil","Township of Big Creek","Phillips","34.4844706","-90.8932224","54","177",TRUE,NA
"BINGHAM",NA,"BINGHAM","POTTER",NA,NA,"PA","1831",TRUE,"1869","5",4955,"Potter","BINGHAM","POTTER","PA","1216969","Civil","Township of Bingham","Potter","41.9556974","-77.7865601","651","2136",TRUE,NA
"BLACK CREEK",NA,"BLACK CREEK","LUZERNE",NA,NA,"PA","1833",FALSE,"1872","6",5110,"Luzerne","BLACK CREEK","LUZERNE","PA","1216703","Civil","Township of Black Creek","Luzerne","40.9736611","-76.1649167","323","1060",TRUE,NA
"BLYTHE",NA,"BLYTHE","SCHUYLKILL",NA,NA,"PA","1842",TRUE,"1851","6",5691,"Schuylkill","BLYTHE","SCHUYLKILL","PA","1216992","Civil","Township of Blythe","Schuylkill","40.7363596","-76.1260084","326","1070",TRUE,NA
"BOGARD",NA,"BOGARD","HENRY",NA,NA,"MO","1871",TRUE,"1875","6",5770,"Henry","BOGARD","HENRY","MO","766736","Civil","Township of Bogard","Henry","38.5154813","-94.0106256","256","840",TRUE,NA
"BONHOMME",NA,"BONHOMME","ST. LOUIS",NA,NA,"MO","1851",TRUE,"1895","4",5936,"St. Louis","BONHOMME","ST. LOUIS","MO","767338","Civil","Township of Bonhomme","St. Louis","38.5529436","-90.433052","147","482",TRUE,NA
"BOSTON",NA,"BOSTON","FRANKLIN",NA,NA,"AR","1843",TRUE,"1844","9",6110,"Franklin","BOSTON","FRANKLIN","AR","66545","Civil","Township of Boston","Franklin","35.6761372","-93.8497039","390","1280",TRUE,NA
"BOSTON",NA,"BOSTON","WASHINGTON",NA,NA,"AR","1858",FALSE,"1868","7",6112,"Washington","BOSTON","WASHINGTON","AR","69779","Civil","Township of Boston","Washington","35.8063785","-94.4054008","506","1660",TRUE,NA
"BOWLING GREEN",NA,"BOWLING GREEN","CHARITON",NA,NA,"MO","1820",TRUE,"1821","8",6254,"Chariton","BOWLING GREEN","CHARITON","MO","766457","Civil","Township of Bowling Green","Chariton","39.3759166","-92.9955077","194","636",TRUE,NA
"BRATTON",NA,"BRATTON","MIFFLIN",NA,NA,"PA","1833",TRUE,"1835","9",6626,"Mifflin","BRATTON","MIFFLIN","PA","1216826","Civil","Township of Bratton","Mifflin","40.4757756","-77.6878254","362","1188",TRUE,NA
"BRIDGEWATER",NA,"BRIDGEWATER","SUSQUEHANNA",NA,NA,"PA","1808",TRUE,"1818","7",6846,"Susquehanna","BRIDGEWATER","SUSQUEHANNA","PA","1217078","Civil","Township of Bridgewater","Susquehanna","41.8335348","-75.825296","510","1673",TRUE,NA
"BROWN",NA,"BROWN","LYCOMING",NA,NA,"PA","1830",TRUE,"1834","8",7244,"Lycoming","BROWN","LYCOMING","PA","1216742","Civil","Township of Brown","Lycoming","41.4987822","-77.490282","592","1942",TRUE,NA
"BRUSH CREEK",NA,"BRUSH CREEK","WASHINGTON",NA,NA,"AR","1840",TRUE,"1841","9",7420,"Washington","BRUSH CREEK","WASHINGTON","AR","69780","Civil","Township of Brush Creek","Washington","36.1841053","-93.9606894","401","1316",TRUE,NA
"BRUSHY LAKE",NA,"BRUSHY LAKE","CROSS",NA,NA,"AR","1876",TRUE,"1880","7",7441,"Cross","BRUSHY LAKE","CROSS","AR","66473","Civil","Township of Brushy Lake","Cross","35.3121264","-90.9598006","68","223",TRUE,NA
"BRYAN",NA,"BRYAN (CH)","BRYAN",NA,NA,"GA","1808",FALSE,"1887","6",7460,"Bryan","BRYAN","BRYAN","GA","350496","Civil","Bryan County","Bryan","32.0132243","-81.4424722","6","20",TRUE,NA
"BUFFINGTON",NA,"BUFFINGTON","INDIANA",NA,NA,"PA","1879",TRUE,"1904","4",7697,"Indiana","BUFFINGTON","INDIANA","PA","1216535","Civil","Township of Buffington","Indiana","40.5136911","-78.9630069","545","1788",TRUE,NA
"BULA",NA,"BULA","GREENE",NA,NA,"AR","1880",TRUE,"1882","8",7723,"Greene","BULA","GREENE","AR","2805590","Civil","Township of Bula","Greene","36.0470107","-90.5406486","94","308",TRUE,NA
"BUTTS",NA,"BUTTS (1)","BUTTS",NA,NA,"GA","1826",TRUE,"1827","9",8119,"Butts","BUTTS","BUTTS","GA","352295","Civil","Butts County","Butts","33.2878507","-83.9571695","207","679",TRUE,NA
"BUTTS",NA,"BUTTS (2)","BUTTS",NA,NA,"GA","1856",TRUE,"1859","8",8120,"Butts","BUTTS","BUTTS","GA","352295","Civil","Butts County","Butts","33.2878507","-83.9571695","207","679",TRUE,NA
"CADDO",NA,"CADDO","CLARK",NA,NA,"AR","1822",FALSE,"1831","8",8239,"Clark","CADDO","CLARK","AR","66430","Civil","Township of Caddo","Clark","34.0509559","-93.1763675","87","285",TRUE,NA
"CAMBRIA",NA,"CAMBRIA","CAMBRIA",NA,NA,"PA","1870",TRUE,"1887","6",8473,"Cambria","CAMBRIA","CAMBRIA","PA","1213662","Civil","Cambria County","Cambria","40.495294","-78.7137033","643","2110",TRUE,NA
"CANADIAN",NA,"CANADIAN","MISSISSIPPI",NA,NA,"AR","1832",FALSE,"1852","8",8669,"Mississippi","CANADIAN","MISSISSIPPI","AR","69653","Civil","Township of Canadian","Mississippi","35.9184903","-89.7466152","79","259",TRUE,NA
"CANAL",NA,"CANAL","VENANGO",NA,NA,"PA","1835",TRUE,"1902","4",8682,"Venango","CANAL","VENANGO","PA","1217139","Civil","Township of Canal","Venango","41.477713","-79.9469732","376","1234",TRUE,NA
"CASCADE",NA,"CASCADE","LYCOMING",NA,NA,"PA","1850",TRUE,"1850","9",9246,"Lycoming","CASCADE","LYCOMING","PA","1216743","Civil","Township of Cascade","Lycoming","41.4557571","-76.8848788","422","1384",TRUE,NA
"CASTOR",NA,"CASTOR","STODDARD",NA,NA,"MO","1834",TRUE,"1836","7",9356,"Stoddard","CASTOR","STODDARD","MO","767416","Civil","Township of Castor","Stoddard","36.8852135","-89.9397924","159","522",TRUE,NA
"CEDAR CREEK",NA,"CEDAR CREEK","WAYNE",NA,NA,"MO","1843",TRUE,"1845","8",9563,"Wayne","CEDAR CREEK","WAYNE","MO","767518","Civil","Township of Cedar Creek","Wayne","37.2806761","-90.4052568","206","676",TRUE,NA
"CHALK BLUFF",NA,"CHALK BLUFF","CLAY",NA,NA,"AR","1874",TRUE,"1882","6",9971,"Clay","CHALK BLUFF","CLAY","AR","63716","Civil","Township of Chalk Bluff (historical)","Clay","36.4556154","-90.2056551","105","344",TRUE,NA
"CHARITON",NA,"CHARITON","CHARITON",NA,NA,"MO","1818",TRUE,"1845","5",10130,"Chariton","CHARITON","CHARITON","MO","758475","Civil","Chariton County","Chariton","39.5150815","-92.9626237","201","659",TRUE,NA
"CHARLTON",NA,"CHARLTON","CHARLTON",NA,NA,"GA","1892",TRUE,"1906","5",10181,"Charlton","CHARLTON","CHARLTON","GA","357747","Civil","Charlton County","Charlton","30.7817272","-82.1376881","38","125",TRUE,NA
"CLARENDON",NA,"CLARENDON","CLARENDON",NA,NA,"SC","1846",FALSE,"1901","4",10983,"Clarendon","CLARENDON","CLARENDON","SC","1247990","Civil","Clarendon County","Clarendon","33.6658061","-80.216405","32","105",TRUE,NA
"CLAY",NA,"CLAY","CLARK",NA,NA,"MO","1868",TRUE,"1874","6",11110,"Clark","CLAY","CLARK","MO","766491","Civil","Township of Clay","Clark","40.3147828","-91.5514703","150","492",TRUE,NA
"CLEAR CREEK",NA,"CLEAR CREEK","COOPER",NA,NA,"MO","1871",TRUE,"1872","8",11175,"Cooper","CLEAR CREEK","COOPER","MO","766529","Civil","Township of Clear Creek","Cooper","38.8468916","-92.9917518","198","650",TRUE,NA
"COLD SPRING",NA,"COLD SPRING","PHELPS",NA,NA,"MO","1866",TRUE,"1869","8",11784,"Phelps","COLD SPRING","PHELPS","MO","767177","Civil","Township of Cold Spring","Phelps","37.8347449","-91.7486641","350","1148",TRUE,NA
"COLD SPRING",NA,"COLD SPRING","LEBANON",NA,NA,"PA","1852",TRUE,"1853","9",11791,"Lebanon","COLD SPRING","LEBANON","PA","1216672","Civil","Township of Cold Spring","Lebanon","40.5021168","-76.5886136","314","1030",TRUE,NA
"COLUMBIA",NA,"COLUMBIA","RANDOLPH",NA,NA,"AR","1829",FALSE,"1879","5",12042,"Randolph","COLUMBIA","RANDOLPH","AR","69018","Civil","Township of Columbia","Randolph","36.368273","-90.9303845","94","308",TRUE,NA
"CONECUH",NA,"CONECUH","CONECUH",NA,NA,"AL","1821",TRUE,"1824","8",12228,"Conecun","CONECUH","CONECUH","AL","161543","Civil","Conecuh County","Conecuh","31.4292715","-86.9936742","76","249",TRUE,NA
"CONEMAUGH",NA,"CONEMAUGH","SOMERSET",NA,NA,"PA","1828",TRUE,"1830","9",12231,"Somerset","CONEMAUGH","SOMERSET","PA","1217046","Civil","Township of Conemaugh","Somerset","40.2431363","-78.9660381","560","1837",TRUE,NA
"CONEWANGO",NA,"CONEWANGO","WARREN",NA,NA,"PA","1828",TRUE,"1835","7",12247,"Warren","CONEWANGO","WARREN","PA","1217174","Civil","Township of Conewango","Warren","41.875954","-79.2082412","513","1683",TRUE,NA
"COOS",NA,"COOS","COOS",NA,NA,"NH","1854",TRUE,"1915","1",12513,"Coos","COOS","COOS","NH","873177","Civil","Coos County","Coos","44.6894956","-71.3055333","517","1696",TRUE,NA
"COPIAH",NA,"COPIAH (C. H.)","COPIAH",NA,NA,"MS","1823",TRUE,"1824","7",12559,"Copiah","COPIAH","COPIAH","MS","695739","Civil","Copiah County","Copiah","31.8692374","-90.4487987","93","305",TRUE,NA
"CORNPLANTER",NA,"CORNPLANTER","VENANGO",NA,NA,"PA","1835",TRUE,"1861","6",12718,"Venango","CORNPLANTER","VENANGO","PA","1217142","Civil","Township of Cornplanter","Venango","41.4900663","-79.6546245","408","1339",TRUE,NA
"CORYDON",NA,"CORYDON","MCKEAN",NA,NA,"PA","1832",TRUE,"1963","1",12792,"McKean/Warren","CORYDON","MCKEAN","PA","1216782","Civil","Township of Corydon","McKean","41.9225119","-78.8488955","606","1988",TRUE,NA
"COVE CREEK",NA,"COVE CREEK","WASHINGTON",NA,NA,"AR","1844",TRUE,"1848","9",13000,"Washington","COVE CREEK","WASHINGTON","AR","69783","Civil","Township of Cove Creek","Washington","35.8124225","-94.3062608","568","1863",TRUE,NA
"COWETA",NA,"COWETA","COWETA",NA,NA,"GA","1827",TRUE,"1828","9",13078,"Coweta","COWETA","COWETA","GA","326666","Civil","Coweta County","Coweta","33.3534617","-84.7633607","280","919",TRUE,NA
"CRANE CREEK",NA,"CRANE CREEK","BARRY",NA,NA,"MO","1846",TRUE,"1853","7",13225,"Barry","CRANE CREEK","BARRY","MO","766253","Civil","Township of Crane Creek","Barry","36.8727509","-93.6481195","421","1381",TRUE,NA
"CUIVRE",NA,"CUIVRE","AUDRAIN",NA,NA,"MO","1893",TRUE,"1902","5",13755,"Audrain","CUIVRE","AUDRAIN","MO","766241","Civil","Township of Cuivre","Audrain","39.2394857","-91.5134251","231","758",TRUE,NA
"CUMBERLAND",NA,"CUMBERLAND","CUMBERLAND",NA,NA,"PA","1827",TRUE,"1827","8",13794,"Cumberland","CUMBERLAND","CUMBERLAND","PA","1209176","Civil","Cumberland County","Cumberland","40.1636346","-77.2655238","176","577",TRUE,NA
"CUMMINGS",NA,"CUMMINGS","LYCOMING",NA,NA,"PA","1836",TRUE,"1948","1",13816,"Lycoming","CUMMINGS","LYCOMING","PA","1216746","Civil","Township of Cummings","Lycoming","41.335638","-77.3438966","534","1752",TRUE,NA
"CYPRESS",NA,"CYPRESS","PHILLIPS",NA,NA,"AR","1875",TRUE,"1875","7",13994,"Phillips","CYPRESS","PHILLIPS","AR","68948","Civil","Township of Cypress","Phillips","34.4765256","-91.018913","52","171",TRUE,NA
"CYPRESS RIDGE",NA,"CYPRESS RIDGE","MONROE",NA,NA,"AR","1873",FALSE,"1890","6",14009,"Monroe","CYPRESS RIDGE","MONROE","AR","68871","Civil","Township of Cypress Ridge","Monroe","34.7534727","-91.1344864","57","187",TRUE,NA
"DALE",NA,"DALE (CH)","DALE",NA,NA,"AL","1829",TRUE,"1843","6",14098,"Dale","DALE","DALE","AL","161548","Civil","Dale County","Dale","31.4318271","-85.6110368","79","259",TRUE,NA
"DANLEY",NA,"DANLEY","FAULKNER",NA,NA,"AR","1877",TRUE,"1878","8",14230,"Faulkner","DANLEY","FAULKNER","AR","66527","Civil","Township of Danley","Faulkner","34.9575497","-92.3961596","103","338",TRUE,NA
"DATE",NA,"DATE","TEXAS",NA,NA,"MO","1892",TRUE,"1896","5",14355,"Texas","DATE","TEXAS","MO","767467","Civil","Township of Date","Texas","37.0932849","-91.7086779","349","1145",TRUE,NA
"DAVIESS",NA,"DAVIESS","DAVIESS",NA,NA,"MO","1871",TRUE,"1873","7",14408,"Daviess","DAVIESS","DAVIESS","MO","758485","Civil","Daviess County","Daviess","39.960745","-93.9854672","246","807",TRUE,NA
"DE BASTROP",NA,"DE BASTROP","ASHLEY",NA,NA,"AR","1842",TRUE,"1851","9",14521,"Ashley","DE BASTROP","ASHLEY","AR","78862","Civil","Township of De Bastrop","Ashley","33.1134999","-91.5294572","35","115",TRUE,NA
"DE KALB",NA,"DE KALB","DEKALB",NA,NA,"AL","1898",TRUE,"1904","5",14529,"De Kalb","DE KALB","DEKALB","AL","161550","Civil","De Kalb County","DeKalb","34.459773","-85.8041426","386","1266",TRUE,NA
"DEERFIELD",NA,"DEERFIELD","TIOGA",NA,NA,"PA","1821",TRUE,"1826","7",14729,"Tioga","DEERFIELD","TIOGA","PA","1217105","Civil","Township of Deerfield","Tioga","41.9462095","-77.4220244","581","1906",TRUE,NA
"DEERFIELD",NA,"DEERFIELD","WARREN",NA,NA,"PA","1828",TRUE,"1844","7",14730,"Warren","DEERFIELD","WARREN","PA","1217161","Civil","Township of Deerfield","Warren","41.7428624","-79.3846745","540","1772",TRUE,NA
"DELMAR",NA,"DELMAR","TIOGA",NA,NA,"PA","1804",FALSE,"1907","4",14875,"Tioga","DELMAR","TIOGA","PA","1217106","Civil","Township of Delmar","Tioga","41.716297","-77.3571797","538","1765",TRUE,NA
"DES MOINES",NA,"DES MOINES","CLARK",NA,NA,"MO","1833",TRUE,"1836","6",15109,"Clark","DES MOINES","CLARK","MO","766492","Civil","Township of Des Moines","Clark","40.4218215","-91.5622193","164","538",TRUE,NA
"DIXVILLE",NA,"DIXVILLE","COOS",NA,NA,"NH","1898",TRUE,"1912","2",15475,"Coos","DIXVILLE","COOS","NH","871095","Civil","Township of Dixville","Coos","44.8868435","-71.2724902","857","2812",TRUE,NA
"DOUGLASS",NA,"DOUGLASS","MONTGOMERY",NA,NA,"PA","1849",TRUE,"1888","3",15790,"Montgomery","DOUGLASS","MONTGOMERY","PA","1216852","Civil","Township of Douglass","Montgomery","40.3438515","-75.5909363","94","308",TRUE,NA
"DRY RUN",NA,"DRY RUN","DALLAS",NA,NA,"AR","1886",TRUE,"1893","7",16065,"Dallas","DRY RUN","DALLAS","AR","66485","Civil","Township of Dry Run","Dallas","33.8226091","-92.3681945","62","203",TRUE,NA
"DUVAL",NA,"DUVAL","JASPER",NA,NA,"MO","1875",TRUE,"1876","8",16449,"Jasper","DUVAL","JASPER","MO","766807","Civil","Township of Duval","Jasper","37.3077608","-94.4501564","282","925",TRUE,NA
"EARL",NA,"EARL","LANCASTER",NA,NA,"PA","1816",FALSE,"1849","7",16596,"Lancaster","EARL","LANCASTER","PA","1216620","Civil","Township of Earl","Lancaster","40.1142876","-76.0959183","136","446",TRUE,NA
"EARLY",NA,"EARLY (CH)","EARLY",NA,NA,"GA","1825",TRUE,"1828","9",16624,"Early","EARLY","EARLY","GA","345041","Civil","Early County","Early","31.3228327","-84.9036434","61","200",TRUE,NA
"EAST VINCENT",NA,"EAST VINCENT","CHESTER",NA,NA,"PA","1864",TRUE,"1872","4",17268,"Chester","EAST VINCENT","CHESTER","PA","1216157","Civil","Township of East Vincent","Chester","40.1684039","-75.5945403","88","289",TRUE,NA
"EAST WHITELAND",NA,"EAST WHITELAND","CHESTER",NA,NA,"PA","1819",TRUE,"1830","6",17295,"Chester","EAST WHITELAND","CHESTER","PA","1216158","Civil","Township of East Whiteland","Chester","40.0473871","-75.5547031","106","348",TRUE,NA
"ELIXIR",NA,"ELIXIR","BOONE",NA,NA,"AR","1880",TRUE,"1897","6",17940,"Boone","ELIXIR","BOONE","AR","69609","Civil","Township of Elixir","Boone","36.319438","-93.0074103","382","1253",TRUE,NA
"ELK",NA,"ELK","CLARION",NA,NA,"PA","1836",TRUE,"1842","6",17967,"Clarion","ELK","CLARION","PA","1216204","Civil","Township of Elk","Clarion","41.2743853","-79.4817947","430","1411",TRUE,NA
"ELKHART",NA,"ELKHART","BATES",NA,NA,"MO","1873",FALSE,"1875","7",18007,"Bates","ELKHART","BATES","MO","766293","Civil","Township of Elkhart","Bates","38.3531588","-94.4566643","262","860",TRUE,NA
"ERIE",NA,"ERIE","ERIE",NA,NA,"NY","1823",TRUE,"1831","6",18680,"Erie","ERIE","ERIE","NY","974113","Civil","Erie County","Erie","42.7582365","-78.7796596","239","784",TRUE,NA
"ERNEST",NA,"ERNEST","DADE",NA,NA,"MO","1889",TRUE,"1904","5",18700,"Dade","ERNEST","DADE","MO","766551","Civil","Township of Ernest","Dade","37.484669","-93.9414132","312","1024",TRUE,NA
"ESCAMBIA",NA,"ESCAMBIA","ESCAMBIA",NA,NA,"AL","1880",TRUE,"1880","8",18739,"Escambia","ESCAMBIA","ESCAMBIA","AL","161552","Civil","Escambia County","Escambia","31.1261225","-87.1616199","63","207",TRUE,NA
"ESCULAPIA",NA,"ESCULAPIA","BENTON",NA,NA,"AR","1880",TRUE,"1882","8",18748,"Benton","ESCULAPIA","BENTON","AR","69581","Civil","Township of Esculapia (historical)","Benton","36.3320195","-94.1029807","397","1302",TRUE,NA
"FAULKNER",NA,"FAULKNER","FAULKNER",NA,NA,"AR","1899",TRUE,"1908","6",19690,"Faulkner","FAULKNER","FAULKNER","AR","66852","Civil","Faulkner County","Faulkner","35.1469781","-92.3320412","89","292",TRUE,NA
"FISHING CREEK",NA,"FISHING CREEK","COLUMBIA",NA,NA,"PA","1820",TRUE,"1916","3",20093,"Columbia","FISHING CREEK","COLUMBIA","PA","1216279","Civil","Township of Fishing Creek","Columbia","41.1357851","-76.3480772","231","758",TRUE,NA
"FLAT CREEK",NA,"FLAT CREEK","PETTIS",NA,NA,"MO","1852",TRUE,"1853","9",20201,"Pettis","FLAT CREEK","PETTIS","MO","767164","Civil","Township of Flat Creek","Pettis","38.5967497","-93.2312416","262","860",TRUE,NA
"FOGLEMAN",NA,"FOGLEMAN","CRITTENDEN",NA,NA,"AR","1900",TRUE,"1915","4",20494,"Crittenden","FOGLEMAN","CRITTENDEN","AR","68747","Civil","Township of Fogleman","Crittenden","35.39101","-90.2278381","67","220",TRUE,NA
"FREEDOM",NA,"FREEDOM","LAFAYETTE",NA,NA,"MO","1846",TRUE,"1874","5",21234,"Lafayette","FREEDOM","LAFAYETTE","MO","766873","Civil","Township of Freedom","Lafayette","38.9726438","-93.6243681","239","784",TRUE,NA
"FRENCH CREEK",NA,"FRENCH CREEK","MERCER",NA,NA,"PA","1837",TRUE,"1876","6",21312,"Mercer","FRENCH CREEK","MERCER","PA","1216799","Civil","Township of French Creek","Mercer","41.4597751","-80.0505019","418","1371",TRUE,NA
"GAP SPRINGS",NA,"GAP SPRINGS","POLK",NA,NA,"AR","1852",TRUE,"1866","7",21811,"Polk","GAP SPRINGS","POLK","AR","68992","Civil","Township of Gap Springs","Polk","34.4292423","-94.1198907","350","1148",TRUE,NA
"GENESEE",NA,"GENESEE","GENESEE",NA,NA,"NY","1802",TRUE,"1807","6",22122,"Genesee","GENESEE","GENESEE","NY","974117","Civil","Genesee County","Genesee","43.0009333","-78.1937114","269","883",TRUE,NA
"GLEGHORN",NA,"GLEGHORN","CLAY",NA,NA,"AR","1901",TRUE,"1902","7",22624,"Clay","GLEGHORN","CLAY","AR","63719","Civil","Township of Gleghorn (historical)","Clay","36.3833942","-90.5056641","89","292",TRUE,NA
"GRAPE GROVE",NA,"GRAPE GROVE","RAY",NA,NA,"MO","1838",TRUE,"1849","7",23502,"Ray","GRAPE GROVE","RAY","MO","767271","Civil","Township of Grape Grove","Ray","39.440834","-93.8501223","280","919",TRUE,NA
"GRAY",NA,"GRAY","GREENE",NA,NA,"PA","1844",TRUE,"1844","7",23590,"Greene","GRAY","GREENE","PA","1216490","Civil","Township of Gray","Greene","39.9322211","-80.3832508","393","1289",TRUE,NA
"HAINES",NA,"HAINES","CENTRE",NA,NA,"PA","1838",TRUE,"1841","8",24553,"Centre","HAINES","CENTRE","PA","1216125","Civil","Township of Haines","Centre","40.901223","-77.3625367","359","1178",TRUE,NA
"HARDEMAN",NA,"HARDEMAN","HARDEMAN",NA,NA,"TN","1894",TRUE,"1900","5",25040,"Hardeman","HARDEMAN","HARDEMAN","TN","1639750","Civil","Hardeman County","Hardeman","35.2068683","-88.9930849","139","456",TRUE,NA
